Gene Name,Gene Symbol,Chromosome,Entrez GeneId,NCBI Accession Number,MGI Marker AccessionId,SwissProt Accession Number,GENSAT Number
"RIKEN cDNA 1520402A15 gene","1520402A15Rik","4","68075","mCT173791.0","MGI:1915325","",""
"RIKEN cDNA 1520402A15 gene","1520402A15Rik","4","68075","XM_204182","MGI:1915325","",""
"RIKEN cDNA 1600002D24 gene","1600002D24Rik","16","69776","XM_488790","MGI:1917026","",""
"RIKEN cDNA 1600002D24 gene","1600002D24Rik","16","69776","XM_622219","MGI:1917026","",""
"RIKEN cDNA 1600002H07 gene","1600002H07Rik","17","72016","XM_128548","MGI:1919266","",""
"RIKEN cDNA 1600002K03 gene","1600002K03Rik","10","69770","XM_354548","MGI:1917020","",""
"RIKEN cDNA 1600002O04 gene","1600002O04Rik","12","214305","XM_147710","MGI:1919265","",""
"RIKEN cDNA 1600010O03 gene","1600010O03Rik","2","109120","NM_198016","","",""
"RIKEN cDNA 1600012F09 gene","1600012F09Rik","13","67008","NM_025904","MGI:1914258","",""
"RIKEN cDNA 1600012H06 gene","1600012H06Rik","17","67912","NM_026451","MGI:1915162","",""
"RIKEN cDNA 1600012P17 gene","1600012P17Rik","1","72025","XM_484930","MGI:1919275","",""
"RIKEN cDNA 1600014C10 gene","1600014C10Rik","7","72244","NM_028166","MGI:1919494","",""
"RIKEN cDNA 1600014C23 gene","1600014C23Rik","17","72240","XM_128667","MGI:1919490","",""
"RIKEN cDNA 1600014E20 gene","1600014E20Rik","2","71995","NM_028045","MGI:1919245","",""
"RIKEN cDNA 1600014K23 gene","1600014K23Rik","X","71996","XM_135938","MGI:1919246","",""
"RIKEN cDNA 1600015H20 gene","1600015H20Rik","2","70370","NM_024237","MGI:1917620","","G02891"
"RIKEN cDNA 1600016N20 gene","1600016N20Rik","7","72000","XM_146151","MGI:1919250","",""
"RIKEN cDNA 1600020E01 gene","1600020E01Rik","6","72012","XM_489143","MGI:1919262","",""
"RIKEN cDNA 1600021P15 gene","1600021P15Rik","16","239796","NM_177718","MGI:1917028","Q8C525",""
"RIKEN cDNA 1600022D10 gene","1600022D10Rik","17","73252","XM_488834","MGI:1920502","",""
"RIKEN cDNA 1600025M17 gene","1600025M17Rik","X","72030","XM_150405","MGI:1919280","",""
"RIKEN cDNA 1600027N09 gene","1600027N09Rik","2","73247","XM_130743","MGI:1920497","Q9DAT2",""
"RIKEN cDNA 1600029D21 gene","1600029D21Rik","9","76509","NM_029639","MGI:1923759","",""
"RIKEN cDNA 1600029I14 gene","1600029I14Rik","9","69797","XM_135038","MGI:1917047","",""
"RIKEN cDNA 1600029O10 gene","1600029O10Rik","16","224133","NM_145481","","",""
"RIKEN cDNA 1700001C02 gene","1700001C02Rik","5","75434","NM_029285","MGI:1922684","","G00465"
"RIKEN cDNA 1700001C19 gene","1700001C19Rik","17","75462","XM_128669","MGI:1922712","",""
"RIKEN cDNA 1700001D09 gene","1700001D09Rik","3","69296","NM_027025","MGI:1916546","",""
"RIKEN cDNA 1700001E04 gene","1700001E04Rik","17","75438","NM_029288","MGI:1922688","",""
"RIKEN cDNA 1700001F09 gene","1700001F09Rik","14","71826","NM_027940","MGI:1919076","",""
"RIKEN cDNA 1700001G17 gene","1700001G17Rik","1","67503","NM_026204","MGI:1914753","",""
"RIKEN cDNA 1700001J03 gene","1700001J03Rik","5","69282","XM_485717","MGI:1916532","",""
"RIKEN cDNA 1700001K19 gene","1700001K19Rik","12","66323","XM_286464","MGI:1913573","",""
"RIKEN cDNA 1700001K23 gene","1700001K23Rik","19","69319","XM_484813","MGI:1916569","",""
"RIKEN cDNA 1700001L19 gene","1700001L19Rik","13","69315","XM_127414","MGI:1916565","",""
"RIKEN cDNA 1700001O22 gene","1700001O22Rik","2","73598","NM_198000","MGI:1923631","",""
"RIKEN cDNA 1700001P01 gene","1700001P01Rik","11","72215","XM_126645","MGI:1919465","",""
"RIKEN cDNA 1700003E16 gene","1700003E16Rik","6","71837","XM_132615","MGI:1919087","",""
"RIKEN cDNA 1700003F12 gene (non-RefSeq)","1700003F12Rik*","","0","1700003F12","","",""
"RIKEN cDNA 1700003H04 gene","1700003H04Rik","3","384775","XM_357859","MGI:1923637","",""
"RIKEN cDNA 1700003M02 gene","1700003M02Rik","4","69329","NM_027041","MGI:1916579","",""
"RIKEN cDNA 1700006A11 gene","1700006A11Rik","3","71824","XM_131185","MGI:1919074","",""
"RIKEN cDNA 1700006E09 gene","1700006E09Rik","11","75437","XM_126493","MGI:1922687","",""
"RIKEN cDNA 1700006H03 gene","1700006H03Rik","15","74174","XM_128158","MGI:1921424","Q9DAN6",""
"RIKEN cDNA 1700006J14 gene","1700006J14Rik","10","321010","NM_177313","MGI:2447818","",""
"RIKEN cDNA 1700007B13 gene","1700007B13Rik","7","71830","XM_133805","MGI:1919080","",""
"RIKEN cDNA 1700007B14 gene","1700007B14Rik","8","71831","XM_486134","MGI:1919081","",""
"RIKEN cDNA 1700007E06 gene","1700007E06Rik","15","75459","XM_619346","MGI:1922709","",""
"RIKEN cDNA 1700007G11 gene","1700007G11Rik","5","75784","NM_001024614","MGI:1916571","",""
"RIKEN cDNA 1700007I06 gene","1700007I06Rik","11","69306","NM_027031","MGI:1916556","",""
"RIKEN cDNA 1700007K09 gene","1700007K09Rik","7","69318","XM_133875","MGI:1916568","",""
"RIKEN cDNA 1700007K13 gene","1700007K13Rik","2","69327","XM_130125","MGI:1916577","",""
"RIKEN cDNA 1700007N14 gene","1700007N14Rik","Un","74215","XM_135691","MGI:1921465","",""
"RIKEN cDNA 1700008A04 gene","1700008A04Rik","11","69351","XM_126070","MGI:1916601","",""
"RIKEN cDNA 1700008F21 gene","1700008F21Rik","8","75453","NM_029292","MGI:1922703","",""
"RIKEN cDNA 1700008G05 gene","1700008G05Rik","3","75497","XM_485205","MGI:1922747","",""
"RIKEN cDNA 1700008H02 gene","1700008H02Rik","3","66325","XM_359179","MGI:1913575","",""
"RIKEN cDNA 1700008I05 gene","1700008I05Rik","X","71841","XM_136071","MGI:1919091","",""
"RIKEN cDNA 1700008O03 gene","1700008O03Rik","7","69349","XM_133454","MGI:1916599","",""
"RIKEN cDNA 1700008P02 gene","1700008P02Rik","3","69347","XM_130785","MGI:1916597","",""
"RIKEN cDNA 1700008P20 gene","1700008P20Rik","7","69301","NM_027028","MGI:1916551","",""
"RIKEN cDNA 1700009J07 gene","1700009J07Rik","10","75188","NM_029200","MGI:1914938","",""
"RIKEN cDNA 1700009N14 gene","1700009N14Rik","4","75471","XM_131323","MGI:1922721","",""
"RIKEN cDNA 1700009P17 gene","1700009P17Rik","1","75472","NM_029301","MGI:1922722","",""
"RIKEN cDNA 1700010A17 gene","1700010A17Rik","2","75495","XM_130188","MGI:1922745","",""
"RIKEN cDNA 1700010B08 gene","1700010B08Rik","2","75485","XM_130726","MGI:1922735","",""
"RIKEN cDNA 1700010C24 gene","1700010C24Rik","15","70363","NM_027401","MGI:1917613","",""
"RIKEN cDNA 1700010D01 gene","1700010D01Rik","X","76386","NM_029590","MGI:1923636","",""
"RIKEN cDNA 1700010H15 gene","1700010H15Rik","12","105000","NM_028821","MGI:1921462","",""
"RIKEN cDNA 1700010H22 gene","1700010H22Rik","5","75500","NM_029312","MGI:1922750","",""
"RIKEN cDNA 1700010I14 gene","1700010I14Rik","17","66931","NM_025851","MGI:1914181","",""
"RIKEN cDNA 1700010L04 gene","1700010L04Rik","7","69333","XM_355963","MGI:1916583","",""
"RIKEN cDNA 1700010M22 gene","1700010M22Rik","2","66328","NM_025490","MGI:1913578","Q9DAH1",""
"RIKEN cDNA 1700011A15 gene","1700011A15Rik","15","66322","NM_025487","MGI:1913572","",""
"RIKEN cDNA 1700011E24 gene","1700011E24Rik","17","75467","XM_128789","MGI:1922717","",""
"RIKEN cDNA 1700011F03 gene","1700011F03Rik","6","74221","XM_132650","MGI:1921471","",""
"RIKEN cDNA 1700011F14 gene","1700011F14Rik","19","75645","XM_129272","MGI:1922895","",""
"RIKEN cDNA 1700011H14 gene","1700011H14Rik","14","67082","NM_025956","MGI:1914332","Q9CPZ1",""
"RIKEN cDNA 1700011H22 gene","1700011H22Rik","4","69314","XM_131510","MGI:1916564","",""
"RIKEN cDNA 1700011J10 gene","1700011J10Rik","2","67686","NM_183265","MGI:1914936","",""
"RIKEN cDNA 1700011K15 gene","1700011K15Rik","12","75456","NM_029294","MGI:1922706","",""
"RIKEN cDNA 1700011L22 gene","1700011L22Rik","8","67687","XM_134463","MGI:1914937","",""
"RIKEN cDNA 1700011M02 gene","1700011M02Rik","X","75443","XM_489359","MGI:1922693","",""
"RIKEN cDNA 1700012A16 gene","1700012A16Rik","1","71836","XM_129498","MGI:1919086","",""
"RIKEN cDNA 1700012B07 gene","1700012B07Rik","11","69324","XM_126647","MGI:1916574","",""
"RIKEN cDNA 1700012B09 gene","1700012B09Rik","9","69325","NM_029306","MGI:1916575","",""
"RIKEN cDNA 1700012B15 gene","1700012B15Rik","12","74173","NM_028796","MGI:1921423","",""
"RIKEN cDNA 1700012B18 gene","1700012B18Rik","Un","71839","NM_027950","MGI:1919089","",""
"RIKEN cDNA 1700012C15 gene","1700012C15Rik","11","76390","XM_111107","MGI:1923640","",""
"RIKEN cDNA 1700012G19 gene","1700012G19Rik","17","67078","NM_025954","MGI:1914328","",""
"RIKEN cDNA 1700012H17 gene","1700012H17Rik","4","242297","NM_173426","MGI:1916593","",""
"RIKEN cDNA 1700012K20 gene (non-RefSeq)","1700012K20Rik*","","0","1700012K20","","",""
"RIKEN cDNA 1700012P22 gene","1700012P22Rik","4","69364","XM_131817","MGI:1916614","",""
"RIKEN cDNA 1700013B16 gene","1700013B16Rik","13","72219","NM_028157","MGI:1919469","",""
"RIKEN cDNA 1700013D24 gene","1700013D24Rik","6","76921","XM_149793","MGI:1924171","",""
"RIKEN cDNA 1700013E18 gene","1700013E18Rik","3","71845","NM_175176","MGI:1919095","",""
"RIKEN cDNA 1700013F07 gene","1700013F07Rik","3","75504","mCT1639.2","MGI:1922754","",""
"RIKEN cDNA 1700013F07 gene","1700013F07Rik","3","75504","XM_131080","MGI:1922754","",""
"RIKEN cDNA 1700013G24 gene","1700013G24Rik","4","69380","NM_027063","MGI:1916630","",""
"RIKEN cDNA 1700013H16 gene","1700013H16Rik","X","75514","XM_135430","MGI:1922764","",""
"RIKEN cDNA 1700013J13 gene (non-RefSeq)","1700013J13Rik*","","0","1700013J13","","",""
"RIKEN cDNA 1700013N18 gene","1700013N18Rik","5","73318","NM_028502","MGI:1920568","",""
"RIKEN cDNA 1700014D04 gene","1700014D04Rik","13","74224","XM_484266","MGI:1921474","",""
"RIKEN cDNA 1700014N06 gene","1700014N06Rik","X","69389","XM_486774","MGI:1916639","",""
"RIKEN cDNA 1700015E13 gene","1700015E13Rik","1","76925","XM_355274","MGI:1924175","",""
"RIKEN cDNA 1700015F17 gene","1700015F17Rik","5","381716","XM_622366","MGI:2686532","",""
"RIKEN cDNA 1700016C15 gene","1700016C15Rik","1","69428","XM_129606","MGI:1916678","",""
"RIKEN cDNA 1700016D06 gene","1700016D06Rik","8","76413","NM_024271","MGI:1923663","",""
"RIKEN cDNA 1700016G05 gene","1700016G05Rik","6","67690","NM_026317","MGI:1914940","",""
"RIKEN cDNA 1700016H13 gene","1700016H13Rik","5","74218","XM_132216","MGI:1921468","",""
"RIKEN cDNA 1700016K13 gene","1700016K13Rik","5","74222","XM_132393","MGI:1921472","",""
"RIKEN cDNA 1700016M24 gene","1700016M24Rik","15","69439","XM_128161","MGI:1916689","",""
"RIKEN cDNA 1700017B05 gene","1700017B05Rik","9","74211","XM_134943","MGI:1921461","Q3TEI4",""
"RIKEN cDNA 1700017D01 gene","1700017D01Rik","19","69369","XM_484775","MGI:1916619","",""
"RIKEN cDNA 1700017G19 gene","1700017G19Rik","3","72227","XM_485224","MGI:1919477","",""
"RIKEN cDNA 1700017G21 gene","1700017G21Rik","X","71847","NM_027955","MGI:1919097","Q99N64",""
"RIKEN cDNA 1700017N19 gene","1700017N19Rik","10","66605","XM_487140","MGI:1913855","",""
"RIKEN cDNA 1700018A14 gene (non-RefSeq)","1700018A14Rik*","","0","1700018A14","","",""
"RIKEN cDNA 1700018B08 gene","1700018B08Rik","8","76405","NM_029597","MGI:1923655","",""
"RIKEN cDNA 1700018B24 gene","1700018B24Rik","3","66332","NM_025493","MGI:1913582","",""
"RIKEN cDNA 1700018C11 gene","1700018C11Rik","4","75524","XM_204087","MGI:1922774","",""
"RIKEN cDNA 1700018G18 gene (non-RefSeq)","1700018G18Rik*","","0","1700018G18","","",""
"RIKEN cDNA 1700018L24 gene","1700018L24Rik","8","75528","XM_133991","MGI:1922778","",""
"RIKEN cDNA 1700019A02 gene (non-RefSeq)","1700019A02Rik*","","0","1700019A02","","",""
"RIKEN cDNA 1700019B03 gene","1700019B03Rik","8","76406","XM_133982","MGI:1923656","",""
"RIKEN cDNA 1700019D03 gene","1700019D03Rik","1","67080","NM_144953","MGI:1914330","",""
"RIKEN cDNA 1700019E19 gene","1700019E19Rik","12","76411","NM_029601","MGI:1923661","",""
"RIKEN cDNA 1700019G17 gene","1700019G17Rik","6","75541","NM_029331","MGI:1922791","",""
"RIKEN cDNA 1700019H03 gene (non-RefSeq)","1700019H03Rik*","","0","1700019H03","","",""
"RIKEN cDNA 1700019J19 gene","1700019J19Rik","9","76412","XM_358708","MGI:1923662","",""
"RIKEN cDNA 1700019L03 gene","1700019L03Rik","2","227736","XM_484987","MGI:2447809","",""
"RIKEN cDNA 1700019M22 gene","1700019M22Rik","12","69423","NM_027076","MGI:1916673","",""
"RIKEN cDNA 1700019N12 gene","1700019N12Rik","19","67077","NM_025953","MGI:1914327","",""
"RIKEN cDNA 1700019N19 gene","1700019N19Rik","19","67507","NM_026208","MGI:1914757","",""
"RIKEN cDNA 1700019O17 gene","1700019O17Rik","1","71863","XM_484891","MGI:1919113","",""
"RIKEN cDNA 1700019P01 gene","1700019P01Rik","15","239591","NM_172818","MGI:1922902","",""
"RIKEN cDNA 1700020A23 gene","1700020A23Rik","2","75656","XM_355391","MGI:1922906","",""
"RIKEN cDNA 1700020C07 gene","1700020C07Rik","2","75642","XM_130672","MGI:1922892","Q9DA57",""
"RIKEN cDNA 1700020C11 gene","1700020C11Rik","11","67900","NM_026443","MGI:1916686","Q9CRB8",""
"RIKEN cDNA 1700020D05 gene","1700020D05Rik","19","75555","NM_023781","MGI:1922805","",""
"RIKEN cDNA 1700020I14 gene","1700020I14Rik","2","66602","XM_488956","MGI:1913852","",""
"RIKEN cDNA 1700020L24 gene","1700020L24Rik","11","66330","NM_025492","MGI:1913580","",""
"RIKEN cDNA 1700020N01 gene","1700020N01Rik","10","67692","NM_183266","MGI:1914942","",""
"RIKEN cDNA 1700020N15 gene","1700020N15Rik","X","75509","XM_135879","MGI:1922759","",""
"RIKEN cDNA 1700020O03 gene","1700020O03Rik","12","70373","NM_027405","MGI:1917623","Q6PE65",""
"RIKEN cDNA 1700021A07 gene","1700021A07Rik","10","76924","XM_483874","MGI:1924174","",""
"RIKEN cDNA 1700021C14 gene","1700021C14Rik","3","76927","XM_355444","MGI:1924177","",""
"RIKEN cDNA 1700021F05 gene","1700021F05Rik","10","67851","NM_026411","MGI:1915101","Q9CQF4",""
"RIKEN cDNA 1700021F07 gene (non-RefSeq)","1700021F07Rik*","","0","1700021F07","","",""
"RIKEN cDNA 1700021K02 gene","1700021K02Rik","10","65971","NM_001017407","MGI:1923820","","G00397"
"RIKEN cDNA 1700021K14 gene","1700021K14Rik","9","69398","mCT185281.0","MGI:1916648","",""
"RIKEN cDNA 1700021K14 gene","1700021K14Rik","9","69398","mCT185283.0","MGI:1916648","",""
"RIKEN cDNA 1700021K19 gene","1700021K19Rik","16","224118","NM_172615","MGI:1915160","Q80U62","G00742"
"RIKEN cDNA 1700021O21 gene (non-RefSeq)","1700021O21Rik*","","0","1700021O21","","",""
"RIKEN cDNA 1700021P04 gene","1700021P04Rik","19","75521","XM_129158","MGI:1922771","",""
"RIKEN cDNA 1700021P22 gene","1700021P22Rik","7","75538","XM_133423","MGI:1922788","",""
"RIKEN cDNA 1700022A21 gene","1700022A21Rik","5","72252","XM_131911","MGI:1919502","",""
"RIKEN cDNA 1700022C21 gene","1700022C21Rik","17","76416","NM_029602","MGI:1923666","",""
"RIKEN cDNA 1700022F17 gene","1700022F17Rik","12","69421","XM_484127","MGI:1916671","",""
"RIKEN cDNA 1700022I11 gene","1700022I11Rik","4","67317","XM_355479","MGI:1914567","",""
"RIKEN cDNA 1700022L09 gene","1700022L09Rik","2","66934","NM_025853","MGI:1914184","Q9CYC5",""
"RIKEN cDNA 1700022O21 gene (non-RefSeq)","1700022O21Rik*","","0","1700022O21","","",""
"RIKEN cDNA 1700023A16 gene","1700023A16Rik","6","69371","XM_132958","MGI:1916621","",""
"RIKEN cDNA 1700023B02 gene","1700023B02Rik","2","66935","NM_025854","MGI:1914185","",""
"RIKEN cDNA 1700023B23 gene","1700023B23Rik","5","76940","XM_132432","","",""
"RIKEN cDNA 1700023D19 gene","1700023D19Rik","7","75510","XM_620490","MGI:1922760","",""
"RIKEN cDNA 1700023E05 gene","1700023E05Rik","5","71868","XM_485635","MGI:1919118","",""
"RIKEN cDNA 1700023F06 gene (non-RefSeq)","1700023F06Rik*","","0","1700023F06","","",""
"RIKEN cDNA 1700023I07 gene","1700023I07Rik","X","76705","XM_284686","MGI:1923955","",""
"RIKEN cDNA 1700023L04 gene","1700023L04Rik","6","76419","XM_485737","MGI:1923669","",""
"RIKEN cDNA 1700023M03 gene","1700023M03Rik","10","69435","NM_027078","","",""
"RIKEN cDNA 1700024B05 gene","1700024B05Rik","14","75518","NM_029322","MGI:1922768","",""
"RIKEN cDNA 1700024D23 gene","1700024D23Rik","12","72258","NM_029911","MGI:1919508","",""
"RIKEN cDNA 1700024G10 gene","1700024G10Rik","1","71849","XM_129805","MGI:1919099","",""
"RIKEN cDNA 1700024G13 gene","1700024G13Rik","14","67085","XM_147820","MGI:1914335","",""
"RIKEN cDNA 1700024P04 gene","1700024P04Rik","13","69382","XM_127485","MGI:1916632","",""
"RIKEN cDNA 1700024P16 gene","1700024P16Rik","4","242594","XM_161350","MGI:2685466","",""
"RIKEN cDNA 1700025B11 gene","1700025B11Rik","15","76409","XM_147929","MGI:1923659","",""
"RIKEN cDNA 1700025D03 gene","1700025D03Rik","X","67944","NM_026469","MGI:1915194","",""
"RIKEN cDNA 1700025E21 gene","1700025E21Rik","6","75647","NM_029373","MGI:1922897","",""
"RIKEN cDNA 1700025F22 gene","1700025F22Rik","19","69416","NM_027074","MGI:1916666","",""
"RIKEN cDNA 1700025G04 gene","1700025G04Rik","1","69399","NM_197990","MGI:1916649","Q8K207",""
"RIKEN cDNA 1700025H01 gene","1700025H01Rik","16","75531","XM_148040","MGI:1922781","",""
"RIKEN cDNA 1700025K23 gene","1700025K23Rik","10","66337","NM_183254","MGI:1913587","",""
"RIKEN cDNA 1700025O08 gene","1700025O08Rik","4","69984","XM_355476","MGI:1917234","",""
"RIKEN cDNA 1700026D02 gene (non-RefSeq)","1700026D02Rik*","","0","1700026D02","","",""
"RIKEN cDNA 1700026D08 gene","1700026D08Rik","7","75556","NM_029335","MGI:1922806","Q6P8Y0",""
"RIKEN cDNA 1700026J04 gene (non-RefSeq)","1700026J04Rik*","","0","1700026J04","","",""
"RIKEN cDNA 1700026J12 gene","1700026J12Rik","16","73255","XM_358865","MGI:1920505","",""
"RIKEN cDNA 1700026L06 gene","1700026L06Rik","2","69987","XM_130129","MGI:1917237","Q7TPM5",""
"RIKEN cDNA 1700026N04 gene","1700026N04Rik","13","72271","XM_147733","MGI:1919521","",""
"RIKEN cDNA 1700027A23 gene","1700027A23Rik","3","76420","XM_131115","MGI:1923670","",""
"RIKEN cDNA 1700027D21 gene","1700027D21Rik","10","76573","NM_029661","MGI:1923823","Q9D9W0",""
"RIKEN cDNA 1700027I07 gene (non-RefSeq)","1700027I07Rik*","","0","1700027I07","","",""
"RIKEN cDNA 1700027J05 gene","1700027J05Rik","15","69440","NM_027081","MGI:1916690","",""
"RIKEN cDNA 1700027J07 gene","1700027J07Rik","10","69443","XM_488556","MGI:1916693","",""
"RIKEN cDNA 1700027L20 gene","1700027L20Rik","1","69453","XM_484892","MGI:1916703","",""
"RIKEN cDNA 1700027M21 gene","1700027M21Rik","10","66341","NM_025499","MGI:1913591","",""
"RIKEN cDNA 1700027N10 gene","1700027N10Rik","17","75564","NM_029338","MGI:1922814","Q9D9V4",""
"RIKEN cDNA 1700028D19 gene (non-RefSeq)","1700028D19Rik*","","0","1700028D19","","",""
"RIKEN cDNA 1700028I16 gene (non-RefSeq)","1700028I16Rik*","","0","1700028I16","","",""
"RIKEN cDNA 1700028J19 gene","1700028J19Rik","7","70004","XM_622406","MGI:1917254","",""
"RIKEN cDNA 1700028K03 gene","1700028K03Rik","5","76421","NM_182745","MGI:1923671","",""
"RIKEN cDNA 1700028P14 gene","1700028P14Rik","19","67483","NM_026188","MGI:1914733","",""
"RIKEN cDNA 1700029F09 gene","1700029F09Rik","1","75623","XM_355303","MGI:1922873","",""
"RIKEN cDNA 1700029F12 gene","1700029F12Rik","13","66479","NM_025585","MGI:1913729","",""
"RIKEN cDNA 1700029G01 gene","1700029G01Rik","4","66938","NM_025856","MGI:1914188","",""
"RIKEN cDNA 1700029H14 gene","1700029H14Rik","8","66501","NM_025601","MGI:1913751","",""
"RIKEN cDNA 1700029I01 gene","1700029I01Rik","3","70005","NM_027285","MGI:1917255","",""
"RIKEN cDNA 1700029I08 gene","1700029I08Rik","17","69481","NM_183282","MGI:1916731","",""
"RIKEN cDNA 1700029I15 gene","1700029I15Rik","2","75641","NM_183112","MGI:1916742","",""
"RIKEN cDNA 1700029J07 gene","1700029J07Rik","8","69479","XM_134156","MGI:1916729","",""
"RIKEN cDNA 1700029J11 gene","1700029J11Rik","2","76426","XM_130728","MGI:1923676","",""
"RIKEN cDNA 1700029M20 gene","1700029M20Rik","4","73937","NM_028688","MGI:1913597","",""
"RIKEN cDNA 1700029P11 gene","1700029P11Rik","X","66346","NM_025503","MGI:1913596","",""
"RIKEN cDNA 1700030B21 gene","1700030B21Rik","X","70062","XM_135880","MGI:1917312","",""
"RIKEN cDNA 1700030E15 gene","1700030E15Rik","9","75667","XM_134639","MGI:1922917","",""
"RIKEN cDNA 1700030F18 gene","1700030F18Rik","15","72277","XM_354881","MGI:1919527","",""
"RIKEN cDNA 1700030G11 gene","1700030G11Rik","2","70065","XM_130735","MGI:1917315","",""
"RIKEN cDNA 1700030J22 gene","1700030J22Rik","8","69528","XM_134467","MGI:1916778","",""
"RIKEN cDNA 1700030K09 gene","1700030K09Rik","8","72254","NM_028170","MGI:1919504","",""
"RIKEN cDNA 1700031A10 gene","1700031A10Rik","17","73286","XM_489923","MGI:1920536","",""
"RIKEN cDNA 1700031F05 gene","1700031F05Rik","X","73300","XM_356346","MGI:1920550","",""
"RIKEN cDNA 1700034F02 gene","1700034F02Rik","11","73324","XM_125968","MGI:1920574","",""
"RIKEN cDNA 1700034H14 gene","1700034H14Rik","18","67105","NM_025969","MGI:1920595","Q8CCM6",""
"RIKEN cDNA 1700034H15 gene","1700034H15Rik","1","74265","XM_358552","MGI:1921515","",""
"RIKEN cDNA 1700034I23 gene","1700034I23Rik","3","73297","NM_028494","MGI:1920547","",""
"RIKEN cDNA 1700034J04 gene (non-RefSeq)","1700034J04Rik*","","0","1700034J04","","",""
"RIKEN cDNA 1700034J05 gene (non-RefSeq)","1700034J05Rik*","","0","1700034J05","","",""
"RIKEN cDNA 1700034K16 gene","1700034K16Rik","4","73314","XM_131299","MGI:1920564","",""
"RIKEN cDNA 1700034K16 gene","1700034K16Rik","4","73314","XM_977775","MGI:1920564","",""
"RIKEN cDNA 1700034M03 gene","1700034M03Rik","6","73288","NM_024260","MGI:1920538","",""
"RIKEN cDNA 1700034O15 gene","1700034O15Rik","6","76606","XM_110591","MGI:1923856","",""
